topo,A,B,maxbond,bytes
QTT_Seq,1.0,0.5,3,195600.0
QTT_Seq,1.0,0.5,6,241360.0
QTT_Seq,1.0,0.5,9,241360.0
QTT_Seq,1.0,0.5,12,241360.0
QTT_Seq,1.0,0.5,15,241360.0
QTT_Seq,1.0,0.5,18,241360.0
QTT_Seq,1.0,0.5,21,241360.0
QTT_Seq,1.0,0.5,24,241360.0
QTT_Seq,1.0,0.5,27,241360.0
QTT_Seq,1.0,0.5,30,241360.0
QTT_Seq,1.0,2.0,3,195600.0
QTT_Seq,1.0,2.0,6,241360.0
QTT_Seq,1.0,2.0,9,241360.0
QTT_Seq,1.0,2.0,12,241360.0
QTT_Seq,1.0,2.0,15,241360.0
QTT_Seq,1.0,2.0,18,241360.0
QTT_Seq,1.0,2.0,21,241360.0
QTT_Seq,1.0,2.0,24,241360.0
QTT_Seq,1.0,2.0,27,241360.0
QTT_Seq,1.0,2.0,30,241360.0
QTT_Seq,1.0,5.0,3,194768.0
QTT_Seq,1.0,5.0,6,241360.0
QTT_Seq,1.0,5.0,9,241360.0
QTT_Seq,1.0,5.0,12,241360.0
QTT_Seq,1.0,5.0,15,241360.0
QTT_Seq,1.0,5.0,18,241360.0
QTT_Seq,1.0,5.0,21,241360.0
QTT_Seq,1.0,5.0,24,241360.0
QTT_Seq,1.0,5.0,27,241360.0
QTT_Seq,1.0,5.0,30,241360.0
QTT_Seq,1.0,10.0,3,194768.0
QTT_Seq,1.0,10.0,6,241360.0
QTT_Seq,1.0,10.0,9,241360.0
QTT_Seq,1.0,10.0,12,241360.0
QTT_Seq,1.0,10.0,15,241360.0
QTT_Seq,1.0,10.0,18,241360.0
QTT_Seq,1.0,10.0,21,241360.0
QTT_Seq,1.0,10.0,24,241360.0
QTT_Seq,1.0,10.0,27,241360.0
QTT_Seq,1.0,10.0,30,241360.0
QTT_Seq,5.0,0.5,3,194768.0
QTT_Seq,5.0,0.5,6,241360.0
QTT_Seq,5.0,0.5,9,241360.0
QTT_Seq,5.0,0.5,12,241360.0
QTT_Seq,5.0,0.5,15,241360.0
QTT_Seq,5.0,0.5,18,241360.0
QTT_Seq,5.0,0.5,21,241360.0
QTT_Seq,5.0,0.5,24,241360.0
QTT_Seq,5.0,0.5,27,241360.0
QTT_Seq,5.0,0.5,30,241360.0
QTT_Seq,5.0,2.0,3,194768.0
QTT_Seq,5.0,2.0,6,241360.0
QTT_Seq,5.0,2.0,9,241360.0
QTT_Seq,5.0,2.0,12,241360.0
QTT_Seq,5.0,2.0,15,241360.0
QTT_Seq,5.0,2.0,18,241360.0
QTT_Seq,5.0,2.0,21,241360.0
QTT_Seq,5.0,2.0,24,241360.0
QTT_Seq,5.0,2.0,27,241360.0
QTT_Seq,5.0,2.0,30,241360.0
QTT_Seq,5.0,5.0,3,194768.0
QTT_Seq,5.0,5.0,6,241360.0
QTT_Seq,5.0,5.0,9,241360.0
QTT_Seq,5.0,5.0,12,241360.0
QTT_Seq,5.0,5.0,15,241360.0
QTT_Seq,5.0,5.0,18,241360.0
QTT_Seq,5.0,5.0,21,241360.0
QTT_Seq,5.0,5.0,24,241360.0
QTT_Seq,5.0,5.0,27,241360.0
QTT_Seq,5.0,5.0,30,241360.0
QTT_Seq,5.0,10.0,3,145632.0
QTT_Seq,5.0,10.0,6,145632.0
QTT_Seq,5.0,10.0,9,145632.0
QTT_Seq,5.0,10.0,12,145632.0
QTT_Seq,5.0,10.0,15,145632.0
QTT_Seq,5.0,10.0,18,145632.0
QTT_Seq,5.0,10.0,21,145632.0
QTT_Seq,5.0,10.0,24,145632.0
QTT_Seq,5.0,10.0,27,145632.0
QTT_Seq,5.0,10.0,30,145632.0
QTT_Seq,15.0,0.5,3,194768.0
QTT_Seq,15.0,0.5,6,241360.0
QTT_Seq,15.0,0.5,9,241360.0
QTT_Seq,15.0,0.5,12,241360.0
QTT_Seq,15.0,0.5,15,241360.0
QTT_Seq,15.0,0.5,18,241360.0
QTT_Seq,15.0,0.5,21,241360.0
QTT_Seq,15.0,0.5,24,241360.0
QTT_Seq,15.0,0.5,27,241360.0
QTT_Seq,15.0,0.5,30,241360.0
QTT_Seq,15.0,2.0,3,194768.0
QTT_Seq,15.0,2.0,6,241360.0
QTT_Seq,15.0,2.0,9,241360.0
QTT_Seq,15.0,2.0,12,241360.0
QTT_Seq,15.0,2.0,15,241360.0
QTT_Seq,15.0,2.0,18,241360.0
QTT_Seq,15.0,2.0,21,241360.0
QTT_Seq,15.0,2.0,24,241360.0
QTT_Seq,15.0,2.0,27,241360.0
QTT_Seq,15.0,2.0,30,241360.0
QTT_Seq,15.0,5.0,3,145632.0
QTT_Seq,15.0,5.0,6,145632.0
QTT_Seq,15.0,5.0,9,145632.0
QTT_Seq,15.0,5.0,12,145632.0
QTT_Seq,15.0,5.0,15,145632.0
QTT_Seq,15.0,5.0,18,145632.0
QTT_Seq,15.0,5.0,21,145632.0
QTT_Seq,15.0,5.0,24,145632.0
QTT_Seq,15.0,5.0,27,145632.0
QTT_Seq,15.0,5.0,30,145632.0
QTT_Seq,15.0,10.0,3,145632.0
QTT_Seq,15.0,10.0,6,145632.0
QTT_Seq,15.0,10.0,9,145632.0
QTT_Seq,15.0,10.0,12,145632.0
QTT_Seq,15.0,10.0,15,145632.0
QTT_Seq,15.0,10.0,18,145632.0
QTT_Seq,15.0,10.0,21,145632.0
QTT_Seq,15.0,10.0,24,145632.0
QTT_Seq,15.0,10.0,27,145632.0
QTT_Seq,15.0,10.0,30,145632.0
QTT_Seq,30.0,0.5,3,194768.0
QTT_Seq,30.0,0.5,6,241360.0
QTT_Seq,30.0,0.5,9,241360.0
QTT_Seq,30.0,0.5,12,241360.0
QTT_Seq,30.0,0.5,15,241360.0
QTT_Seq,30.0,0.5,18,241360.0
QTT_Seq,30.0,0.5,21,241360.0
QTT_Seq,30.0,0.5,24,241360.0
QTT_Seq,30.0,0.5,27,241360.0
QTT_Seq,30.0,0.5,30,241360.0
QTT_Seq,30.0,2.0,3,145632.0
QTT_Seq,30.0,2.0,6,145632.0
QTT_Seq,30.0,2.0,9,145632.0
QTT_Seq,30.0,2.0,12,145632.0
QTT_Seq,30.0,2.0,15,145632.0
QTT_Seq,30.0,2.0,18,145632.0
QTT_Seq,30.0,2.0,21,145632.0
QTT_Seq,30.0,2.0,24,145632.0
QTT_Seq,30.0,2.0,27,145632.0
QTT_Seq,30.0,2.0,30,145632.0
QTT_Seq,30.0,5.0,3,145632.0
QTT_Seq,30.0,5.0,6,145632.0
QTT_Seq,30.0,5.0,9,145632.0
QTT_Seq,30.0,5.0,12,145632.0
QTT_Seq,30.0,5.0,15,145632.0
QTT_Seq,30.0,5.0,18,145632.0
QTT_Seq,30.0,5.0,21,145632.0
QTT_Seq,30.0,5.0,24,145632.0
QTT_Seq,30.0,5.0,27,145632.0
QTT_Seq,30.0,5.0,30,145632.0
QTT_Seq,30.0,10.0,3,145632.0
QTT_Seq,30.0,10.0,6,145632.0
QTT_Seq,30.0,10.0,9,145632.0
QTT_Seq,30.0,10.0,12,145632.0
QTT_Seq,30.0,10.0,15,145632.0
QTT_Seq,30.0,10.0,18,145632.0
QTT_Seq,30.0,10.0,21,145632.0
QTT_Seq,30.0,10.0,24,145632.0
QTT_Seq,30.0,10.0,27,145632.0
QTT_Seq,30.0,10.0,30,145632.0
BTTN,1.0,0.5,3,186656.0
BTTN,1.0,0.5,6,195808.0
BTTN,1.0,0.5,9,198504.0
BTTN,1.0,0.5,12,213480.0
BTTN,1.0,0.5,15,239272.0
BTTN,1.0,0.5,18,245928.0
BTTN,1.0,0.5,21,248424.0
BTTN,1.0,0.5,24,250920.0
BTTN,1.0,0.5,27,253416.0
BTTN,1.0,0.5,30,255912.0
BTTN,1.0,2.0,3,186656.0
BTTN,1.0,2.0,6,195808.0
BTTN,1.0,2.0,9,198504.0
BTTN,1.0,2.0,12,215144.0
BTTN,1.0,2.0,15,222632.0
BTTN,1.0,2.0,18,240936.0
BTTN,1.0,2.0,21,245928.0
BTTN,1.0,2.0,24,248424.0
BTTN,1.0,2.0,27,250920.0
BTTN,1.0,2.0,30,253416.0
BTTN,1.0,5.0,3,186656.0
BTTN,1.0,5.0,6,195808.0
BTTN,1.0,5.0,9,198504.0
BTTN,1.0,5.0,12,215144.0
BTTN,1.0,5.0,15,223464.0
BTTN,1.0,5.0,18,241768.0
BTTN,1.0,5.0,21,247592.0
BTTN,1.0,5.0,24,250088.0
BTTN,1.0,5.0,27,252584.0
BTTN,1.0,5.0,30,255080.0
BTTN,1.0,10.0,3,186656.0
BTTN,1.0,10.0,6,195808.0
BTTN,1.0,10.0,9,198504.0
BTTN,1.0,10.0,12,214312.0
BTTN,1.0,10.0,15,230120.0
BTTN,1.0,10.0,18,241768.0
BTTN,1.0,10.0,21,245096.0
BTTN,1.0,10.0,24,250088.0
BTTN,1.0,10.0,27,252584.0
BTTN,1.0,10.0,30,255080.0
BTTN,5.0,0.5,3,186656.0
BTTN,5.0,0.5,6,195808.0
BTTN,5.0,0.5,9,198504.0
BTTN,5.0,0.5,12,220136.0
BTTN,5.0,0.5,15,223464.0
BTTN,5.0,0.5,18,241768.0
BTTN,5.0,0.5,21,247592.0
BTTN,5.0,0.5,24,250088.0
BTTN,5.0,0.5,27,252584.0
BTTN,5.0,0.5,30,255080.0
BTTN,5.0,2.0,3,186656.0
BTTN,5.0,2.0,6,195808.0
BTTN,5.0,2.0,9,198504.0
BTTN,5.0,2.0,12,218472.0
BTTN,5.0,2.0,15,221800.0
BTTN,5.0,2.0,18,229288.0
BTTN,5.0,2.0,21,240104.0
BTTN,5.0,2.0,24,242600.0
BTTN,5.0,2.0,27,250088.0
BTTN,5.0,2.0,30,252584.0
BTTN,5.0,5.0,3,189984.0
BTTN,5.0,5.0,6,205792.0
BTTN,5.0,5.0,9,221800.0
BTTN,5.0,5.0,12,233448.0
BTTN,5.0,5.0,15,243432.0
BTTN,5.0,5.0,18,250920.0
BTTN,5.0,5.0,21,254248.0
BTTN,5.0,5.0,24,256744.0
BTTN,5.0,5.0,27,259240.0
BTTN,5.0,5.0,30,262568.0
BTTN,5.0,10.0,3,186656.0
BTTN,5.0,10.0,6,195808.0
BTTN,5.0,10.0,9,198504.0
BTTN,5.0,10.0,12,220136.0
BTTN,5.0,10.0,15,235944.0
BTTN,5.0,10.0,18,243432.0
BTTN,5.0,10.0,21,247592.0
BTTN,5.0,10.0,24,250088.0
BTTN,5.0,10.0,27,252584.0
BTTN,5.0,10.0,30,255080.0
BTTN,15.0,0.5,3,186656.0
BTTN,15.0,0.5,6,195808.0
BTTN,15.0,0.5,9,198504.0
BTTN,15.0,0.5,12,215144.0
BTTN,15.0,0.5,15,221800.0
BTTN,15.0,0.5,18,240104.0
BTTN,15.0,0.5,21,245928.0
BTTN,15.0,0.5,24,248424.0
BTTN,15.0,0.5,27,250920.0
BTTN,15.0,0.5,30,253416.0
BTTN,15.0,2.0,3,189984.0
BTTN,15.0,2.0,6,205792.0
BTTN,15.0,2.0,9,221800.0
BTTN,15.0,2.0,12,233448.0
BTTN,15.0,2.0,15,244264.0
BTTN,15.0,2.0,18,250920.0
BTTN,15.0,2.0,21,255080.0
BTTN,15.0,2.0,24,257576.0
BTTN,15.0,2.0,27,260072.0
BTTN,15.0,2.0,30,262568.0
BTTN,15.0,5.0,3,189984.0
BTTN,15.0,5.0,6,205792.0
BTTN,15.0,5.0,9,222632.0
BTTN,15.0,5.0,12,219304.0
BTTN,15.0,5.0,15,240104.0
BTTN,15.0,5.0,18,245928.0
BTTN,15.0,5.0,21,248424.0
BTTN,15.0,5.0,24,250920.0
BTTN,15.0,5.0,27,253416.0
BTTN,15.0,5.0,30,255912.0
BTTN,15.0,10.0,3,154160.0
BTTN,15.0,10.0,6,154160.0
BTTN,15.0,10.0,9,154160.0
BTTN,15.0,10.0,12,154160.0
BTTN,15.0,10.0,15,154160.0
BTTN,15.0,10.0,18,154160.0
BTTN,15.0,10.0,21,154160.0
BTTN,15.0,10.0,24,154160.0
BTTN,15.0,10.0,27,154160.0
BTTN,15.0,10.0,30,154160.0
BTTN,30.0,0.5,3,186656.0
BTTN,30.0,0.5,6,195808.0
BTTN,30.0,0.5,9,198504.0
BTTN,30.0,0.5,12,215144.0
BTTN,30.0,0.5,15,240104.0
BTTN,30.0,0.5,18,242600.0
BTTN,30.0,0.5,21,248424.0
BTTN,30.0,0.5,24,250920.0
BTTN,30.0,0.5,27,253416.0
BTTN,30.0,0.5,30,255912.0
BTTN,30.0,2.0,3,189984.0
BTTN,30.0,2.0,6,205792.0
BTTN,30.0,2.0,9,222632.0
BTTN,30.0,2.0,12,231784.0
BTTN,30.0,2.0,15,242600.0
BTTN,30.0,2.0,18,246760.0
BTTN,30.0,2.0,21,252584.0
BTTN,30.0,2.0,24,255912.0
BTTN,30.0,2.0,27,258408.0
BTTN,30.0,2.0,30,260904.0
BTTN,30.0,5.0,3,154160.0
BTTN,30.0,5.0,6,154160.0
BTTN,30.0,5.0,9,154160.0
BTTN,30.0,5.0,12,154160.0
BTTN,30.0,5.0,15,154160.0
BTTN,30.0,5.0,18,154160.0
BTTN,30.0,5.0,21,154160.0
BTTN,30.0,5.0,24,154160.0
BTTN,30.0,5.0,27,154160.0
BTTN,30.0,5.0,30,154160.0
BTTN,30.0,10.0,3,154160.0
BTTN,30.0,10.0,6,154160.0
BTTN,30.0,10.0,9,154160.0
BTTN,30.0,10.0,12,154160.0
BTTN,30.0,10.0,15,154160.0
BTTN,30.0,10.0,18,154160.0
BTTN,30.0,10.0,21,154160.0
BTTN,30.0,10.0,24,154160.0
BTTN,30.0,10.0,27,154160.0
BTTN,30.0,10.0,30,154160.0
CTTN,1.0,0.5,3,178960.0
CTTN,1.0,0.5,6,179792.0
CTTN,1.0,0.5,9,179792.0
CTTN,1.0,0.5,12,179792.0
CTTN,1.0,0.5,15,179792.0
CTTN,1.0,0.5,18,179792.0
CTTN,1.0,0.5,21,179792.0
CTTN,1.0,0.5,24,179792.0
CTTN,1.0,0.5,27,179792.0
CTTN,1.0,0.5,30,179792.0
CTTN,1.0,2.0,3,178960.0
CTTN,1.0,2.0,6,179792.0
CTTN,1.0,2.0,9,179792.0
CTTN,1.0,2.0,12,179792.0
CTTN,1.0,2.0,15,179792.0
CTTN,1.0,2.0,18,179792.0
CTTN,1.0,2.0,21,179792.0
CTTN,1.0,2.0,24,179792.0
CTTN,1.0,2.0,27,179792.0
CTTN,1.0,2.0,30,179792.0
CTTN,1.0,5.0,3,178960.0
CTTN,1.0,5.0,6,179792.0
CTTN,1.0,5.0,9,179792.0
CTTN,1.0,5.0,12,179792.0
CTTN,1.0,5.0,15,179792.0
CTTN,1.0,5.0,18,179792.0
CTTN,1.0,5.0,21,179792.0
CTTN,1.0,5.0,24,179792.0
CTTN,1.0,5.0,27,179792.0
CTTN,1.0,5.0,30,179792.0
CTTN,1.0,10.0,3,178960.0
CTTN,1.0,10.0,6,179792.0
CTTN,1.0,10.0,9,179792.0
CTTN,1.0,10.0,12,179792.0
CTTN,1.0,10.0,15,179792.0
CTTN,1.0,10.0,18,179792.0
CTTN,1.0,10.0,21,179792.0
CTTN,1.0,10.0,24,179792.0
CTTN,1.0,10.0,27,179792.0
CTTN,1.0,10.0,30,179792.0
CTTN,5.0,0.5,3,178960.0
CTTN,5.0,0.5,6,179792.0
CTTN,5.0,0.5,9,179792.0
CTTN,5.0,0.5,12,179792.0
CTTN,5.0,0.5,15,179792.0
CTTN,5.0,0.5,18,179792.0
CTTN,5.0,0.5,21,179792.0
CTTN,5.0,0.5,24,179792.0
CTTN,5.0,0.5,27,179792.0
CTTN,5.0,0.5,30,179792.0
CTTN,5.0,2.0,3,178960.0
CTTN,5.0,2.0,6,179792.0
CTTN,5.0,2.0,9,179792.0
CTTN,5.0,2.0,12,179792.0
CTTN,5.0,2.0,15,179792.0
CTTN,5.0,2.0,18,179792.0
CTTN,5.0,2.0,21,179792.0
CTTN,5.0,2.0,24,179792.0
CTTN,5.0,2.0,27,179792.0
CTTN,5.0,2.0,30,179792.0
CTTN,5.0,5.0,3,178960.0
CTTN,5.0,5.0,6,179792.0
CTTN,5.0,5.0,9,179792.0
CTTN,5.0,5.0,12,179792.0
CTTN,5.0,5.0,15,179792.0
CTTN,5.0,5.0,18,179792.0
CTTN,5.0,5.0,21,179792.0
CTTN,5.0,5.0,24,179792.0
CTTN,5.0,5.0,27,179792.0
CTTN,5.0,5.0,30,179792.0
CTTN,5.0,10.0,3,178960.0
CTTN,5.0,10.0,6,179792.0
CTTN,5.0,10.0,9,179792.0
CTTN,5.0,10.0,12,179792.0
CTTN,5.0,10.0,15,179792.0
CTTN,5.0,10.0,18,179792.0
CTTN,5.0,10.0,21,179792.0
CTTN,5.0,10.0,24,179792.0
CTTN,5.0,10.0,27,179792.0
CTTN,5.0,10.0,30,179792.0
CTTN,15.0,0.5,3,178960.0
