topo,eta,time,maxbond,bytes
QTT_Alt2,0.001,10.0,20,1.307512e6
QTT_Alt2,0.001,10.0,50,2.050904e6
QTT_Alt2,0.001,10.0,100,2.943064e6
QTT_Alt2,0.001,10.0,150,3.644248e6
QTT_Alt2,0.001,10.0,200,4.166424e6
QTT_Alt2,0.001,10.0,250,4.61644e6
QTT_Alt2,0.001,10.0,300,4.982488e6
QTT_Alt2,0.001,50.0,20,1.413784e6
QTT_Alt2,0.001,50.0,50,2.346104e6
QTT_Alt2,0.001,50.0,100,3.525592e6
QTT_Alt2,0.001,50.0,150,4.520664e6
QTT_Alt2,0.001,50.0,200,5.398392e6
QTT_Alt2,0.001,50.0,250,6.163288e6
QTT_Alt2,0.001,50.0,300,6.819288e6
QTT_Alt2,0.001,100.0,20,1.45708e6
QTT_Alt2,0.001,100.0,50,2.465496e6
QTT_Alt2,0.001,100.0,100,3.778808e6
QTT_Alt2,0.001,100.0,150,4.914264e6
QTT_Alt2,0.001,100.0,200,5.919256e6
QTT_Alt2,0.001,100.0,250,6.825848e6
QTT_Alt2,0.001,100.0,300,7.623544e6
QTT_Alt2,0.001,200.0,20,1.49644e6
QTT_Alt2,0.001,200.0,50,2.587512e6
QTT_Alt2,0.001,200.0,100,4.028088e6
QTT_Alt2,0.001,200.0,150,5.301304e6
QTT_Alt2,0.001,200.0,200,6.449304e6
QTT_Alt2,0.001,200.0,250,7.480536e6
QTT_Alt2,0.001,200.0,300,8.41468e6
QTT_Alt2,0.01,10.0,20,1.329816e6
QTT_Alt2,0.01,10.0,50,2.092888e6
QTT_Alt2,0.01,10.0,100,2.995544e6
QTT_Alt2,0.01,10.0,150,3.69804e6
QTT_Alt2,0.01,10.0,200,4.256952e6
QTT_Alt2,0.01,10.0,250,4.70172e6
QTT_Alt2,0.01,10.0,300,5.087448e6
QTT_Alt2,0.01,50.0,20,1.422968e6
QTT_Alt2,0.01,50.0,50,2.373656e6
QTT_Alt2,0.01,50.0,100,3.571512e6
QTT_Alt2,0.01,50.0,150,4.578392e6
QTT_Alt2,0.01,50.0,200,5.494168e6
QTT_Alt2,0.01,50.0,250,6.27612e6
QTT_Alt2,0.01,50.0,300,6.947864e6
QTT_Alt2,0.01,100.0,20,1.46364e6
QTT_Alt2,0.01,100.0,50,2.495672e6
QTT_Alt2,0.01,100.0,100,3.828664e6
QTT_Alt2,0.01,100.0,150,4.969368e6
QTT_Alt2,0.01,100.0,200,6.005848e6
QTT_Alt2,0.01,100.0,250,6.96492e6
QTT_Alt2,0.01,100.0,300,7.76524e6
QTT_Alt2,0.01,200.0,20,1.513496e6
QTT_Alt2,0.01,200.0,50,2.617688e6
QTT_Alt2,0.01,200.0,100,4.070072e6
QTT_Alt2,0.01,200.0,150,5.345912e6
QTT_Alt2,0.01,200.0,200,6.517528e6
QTT_Alt2,0.01,200.0,250,7.631416e6
QTT_Alt2,0.01,200.0,300,8.589176e6
QTT_Alt2,0.1,10.0,20,1.354744e6
QTT_Alt2,0.1,10.0,50,2.130936e6
QTT_Alt2,0.1,10.0,100,3.061144e6
QTT_Alt2,0.1,10.0,150,3.758392e6
QTT_Alt2,0.1,10.0,200,4.37372e6
QTT_Alt2,0.1,10.0,250,4.853912e6
QTT_Alt2,0.1,10.0,300,5.247512e6
QTT_Alt2,0.1,50.0,20,1.451832e6
QTT_Alt2,0.1,50.0,50,2.4222e6
QTT_Alt2,0.1,50.0,100,3.64892e6
QTT_Alt2,0.1,50.0,150,4.666296e6
QTT_Alt2,0.1,50.0,200,5.592568e6
QTT_Alt2,0.1,50.0,250,6.430936e6
QTT_Alt2,0.1,50.0,300,7.144664e6
QTT_Alt2,0.1,100.0,20,1.491192e6
QTT_Alt2,0.1,100.0,50,2.542904e6
QTT_Alt2,0.1,100.0,100,3.89164e6
QTT_Alt2,0.1,100.0,150,5.058584e6
QTT_Alt2,0.1,100.0,200,6.11212e6
QTT_Alt2,0.1,100.0,250,7.075128e6
QTT_Alt2,0.1,100.0,300,7.941048e6
QTT_Alt2,0.1,200.0,20,1.526616e6
QTT_Alt2,0.1,200.0,50,2.649176e6
QTT_Alt2,0.1,200.0,100,4.143544e6
QTT_Alt2,0.1,200.0,150,5.422008e6
QTT_Alt2,0.1,200.0,200,6.61068e6
QTT_Alt2,0.1,200.0,250,7.724568e6
QTT_Alt2,0.1,200.0,300,8.721688e6
QTT_Alt2,0.0,10.0,20,1.230104e6
QTT_Alt2,0.0,10.0,50,1.914456e6
QTT_Alt2,0.0,10.0,100,2.747576e6
QTT_Alt2,0.0,10.0,150,3.412024e6
QTT_Alt2,0.0,10.0,200,3.91452e6
QTT_Alt2,0.0,10.0,250,4.368472e6
QTT_Alt2,0.0,10.0,300,4.667608e6
QTT_Alt2,0.0,50.0,20,1.333752e6
QTT_Alt2,0.0,50.0,50,2.207032e6
QTT_Alt2,0.0,50.0,100,3.3406e6
QTT_Alt2,0.0,50.0,150,4.315992e6
QTT_Alt2,0.0,50.0,200,5.133368e6
QTT_Alt2,0.0,50.0,250,5.865464e6
QTT_Alt2,0.0,50.0,300,6.50572e6
QTT_Alt2,0.0,100.0,20,1.375736e6
QTT_Alt2,0.0,100.0,50,2.331672e6
QTT_Alt2,0.0,100.0,100,3.592504e6
QTT_Alt2,0.0,100.0,150,4.703032e6
QTT_Alt2,0.0,100.0,200,5.647672e6
QTT_Alt2,0.0,100.0,250,6.535896e6
QTT_Alt2,0.0,100.0,300,7.307352e6
QTT_Alt2,0.0,200.0,20,1.421656e6
QTT_Alt2,0.0,200.0,50,2.451064e6
QTT_Alt2,0.0,200.0,100,3.848344e6
QTT_Alt2,0.0,200.0,150,5.080888e6
QTT_Alt2,0.0,200.0,200,6.168536e6
QTT_Alt2,0.0,200.0,250,7.180088e6
QTT_Alt2,0.0,200.0,300,8.07356e6
QTT_Alt2,1.0,10.0,20,1.388856e6
QTT_Alt2,1.0,10.0,50,2.220152e6
QTT_Alt2,1.0,10.0,100,3.247448e6
QTT_Alt2,1.0,10.0,150,4.060152e6
QTT_Alt2,1.0,10.0,200,4.705656e6
QTT_Alt2,1.0,10.0,250,5.317048e6
QTT_Alt2,1.0,10.0,300,5.736888e6
QTT_Alt2,1.0,50.0,20,1.475448e6
QTT_Alt2,1.0,50.0,50,2.503544e6
QTT_Alt2,1.0,50.0,100,3.794552e6
QTT_Alt2,1.0,50.0,150,4.926072e6
QTT_Alt2,1.0,50.0,200,5.868088e6
QTT_Alt2,1.0,50.0,250,6.795672e6
QTT_Alt2,1.0,50.0,300,7.592056e6
QTT_Alt2,1.0,100.0,20,1.517432e6
QTT_Alt2,1.0,100.0,50,2.603256e6
QTT_Alt2,1.0,100.0,100,4.03596e6
QTT_Alt2,1.0,100.0,150,5.248824e6
QTT_Alt2,1.0,100.0,200,6.349592e6
QTT_Alt2,1.0,100.0,250,7.409688e6
QTT_Alt2,1.0,100.0,300,8.354328e6
QTT_Alt2,1.0,200.0,20,1.55548e6
QTT_Alt2,1.0,200.0,50,2.735768e6
QTT_Alt2,1.0,200.0,100,4.273432e6
QTT_Alt2,1.0,200.0,150,5.616184e6
QTT_Alt2,1.0,200.0,200,6.810104e6
QTT_Alt2,1.0,200.0,250,7.964664e6
QTT_Alt2,1.0,200.0,300,9.054936e6
QTT_Alt,0.001,10.0,20,1.3062e6
QTT_Alt,0.001,10.0,50,2.053528e6
QTT_Alt,0.001,10.0,100,2.937816e6
QTT_Alt,0.001,10.0,150,3.618008e6
QTT_Alt,0.001,10.0,200,4.146744e6
QTT_Alt,0.001,10.0,250,4.549528e6
QTT_Alt,0.001,10.0,300,4.89196e6
QTT_Alt,0.001,50.0,20,1.405912e6
QTT_Alt,0.001,50.0,50,2.342168e6
QTT_Alt,0.001,50.0,100,3.521656e6
QTT_Alt,0.001,50.0,150,4.503608e6
QTT_Alt,0.001,50.0,200,5.378712e6
QTT_Alt,0.001,50.0,250,6.093752e6
QTT_Alt,0.001,50.0,300,6.747128e6
QTT_Alt,0.001,100.0,20,1.434776e6
QTT_Alt,0.001,100.0,50,2.465496e6
QTT_Alt,0.001,100.0,100,3.778808e6
QTT_Alt,0.001,100.0,150,4.890648e6
QTT_Alt,0.001,100.0,200,5.903512e6
QTT_Alt,0.001,100.0,250,6.753688e6
QTT_Alt,0.001,100.0,300,7.538264e6
QTT_Alt,0.001,200.0,20,1.49644e6
QTT_Alt,0.001,200.0,50,2.588824e6
QTT_Alt,0.001,200.0,100,4.028088e6
QTT_Alt,0.001,200.0,150,5.280312e6
QTT_Alt,0.001,200.0,200,6.429624e6
QTT_Alt,0.001,200.0,250,7.408376e6
QTT_Alt,0.001,200.0,300,8.34252e6
QTT_Alt,0.01,10.0,20,1.327192e6
QTT_Alt,0.01,10.0,50,2.088952e6
QTT_Alt,0.01,10.0,100,2.998168e6
QTT_Alt,0.01,10.0,150,3.682296e6
QTT_Alt,0.01,10.0,200,4.234648e6
QTT_Alt,0.01,10.0,250,4.632184e6
QTT_Alt,0.01,10.0,300,5.015288e6
QTT_Alt,0.01,50.0,20,1.438712e6
QTT_Alt,0.01,50.0,50,2.380216e6
QTT_Alt,0.01,50.0,100,3.574136e6
QTT_Alt,0.01,50.0,150,4.56396e6
QTT_Alt,0.01,50.0,200,5.474488e6
QTT_Alt,0.01,50.0,250,6.22364e6
QTT_Alt,0.01,50.0,300,6.87308e6
QTT_Alt,0.01,100.0,20,1.467576e6
QTT_Alt,0.01,100.0,50,2.498296e6
QTT_Alt,0.01,100.0,100,3.829976e6
QTT_Alt,0.01,100.0,150,4.949688e6
QTT_Alt,0.01,100.0,200,5.988792e6
QTT_Alt,0.01,100.0,250,6.890136e6
QTT_Alt,0.01,100.0,300,7.687832e6
QTT_Alt,0.01,200.0,20,1.517432e6
QTT_Alt,0.01,200.0,50,2.624248e6
QTT_Alt,0.01,200.0,100,4.07532e6
QTT_Alt,0.01,200.0,150,5.332792e6
QTT_Alt,0.01,200.0,200,6.493912e6
QTT_Alt,0.01,200.0,250,7.559256e6
QTT_Alt,0.01,200.0,300,8.497336e6
QTT_Alt,0.1,10.0,20,1.36524e6
QTT_Alt,0.1,10.0,50,2.125688e6
QTT_Alt,0.1,10.0,100,3.046712e6
QTT_Alt,0.1,10.0,150,3.751832e6
QTT_Alt,0.1,10.0,200,4.350104e6
QTT_Alt,0.1,10.0,250,4.777816e6
QTT_Alt,0.1,10.0,300,5.15436e6
QTT_Alt,0.1,50.0,20,1.445272e6
QTT_Alt,0.1,50.0,50,2.42876e6
QTT_Alt,0.1,50.0,100,3.643672e6
QTT_Alt,0.1,50.0,150,4.654488e6
QTT_Alt,0.1,50.0,200,5.568952e6
QTT_Alt,0.1,50.0,250,6.369272e6
QTT_Alt,0.1,50.0,300,7.07644e6
QTT_Alt,0.1,100.0,20,1.488568e6
QTT_Alt,0.1,100.0,50,2.54684e6
QTT_Alt,0.1,100.0,100,3.902136e6
QTT_Alt,0.1,100.0,150,5.032344e6
QTT_Alt,0.1,100.0,200,6.081944e6
QTT_Alt,0.1,100.0,250,7.012152e6
QTT_Alt,0.1,100.0,300,7.864952e6
QTT_Alt,0.1,200.0,20,1.527928e6
QTT_Alt,0.1,200.0,50,2.653112e6
QTT_Alt,0.1,200.0,100,4.14092e6
QTT_Alt,0.1,200.0,150,5.412824e6
QTT_Alt,0.1,200.0,200,6.591e6
QTT_Alt,0.1,200.0,250,7.665528e6
QTT_Alt,0.1,200.0,300,8.65084e6
QTT_Alt,0.0,10.0,20,1.228792e6
QTT_Alt,0.0,10.0,50,1.915768e6
QTT_Alt,0.0,10.0,100,2.7502e6
QTT_Alt,0.0,10.0,150,3.393656e6
QTT_Alt,0.0,10.0,200,3.885656e6
QTT_Alt,0.0,10.0,250,4.285816e6
QTT_Alt,0.0,10.0,300,4.587576e6
QTT_Alt,0.0,50.0,20,1.329816e6
QTT_Alt,0.0,50.0,50,2.207032e6
QTT_Alt,0.0,50.0,100,3.341912e6
QTT_Alt,0.0,50.0,150,4.295e6
QTT_Alt,0.0,50.0,200,5.113688e6
QTT_Alt,0.0,50.0,250,5.809048e6
QTT_Alt,0.0,50.0,300,6.429624e6
QTT_Alt,0.0,100.0,20,1.37836e6
QTT_Alt,0.0,100.0,50,2.331672e6
QTT_Alt,0.0,100.0,100,3.587256e6
QTT_Alt,0.0,100.0,150,4.679416e6
QTT_Alt,0.0,100.0,200,5.627992e6
QTT_Alt,0.0,100.0,250,6.467672e6
QTT_Alt,0.0,100.0,300,7.216824e6
QTT_Alt,0.0,200.0,20,1.422968e6
QTT_Alt,0.0,200.0,50,2.452376e6
QTT_Alt,0.0,200.0,100,3.848344e6
QTT_Alt,0.0,200.0,150,5.065144e6
QTT_Alt,0.0,200.0,200,6.146232e6
QTT_Alt,0.0,200.0,250,7.10268e6
QTT_Alt,0.0,200.0,300,7.997464e6
QTT_Alt,1.0,10.0,20,1.387544e6
QTT_Alt,1.0,10.0,50,2.221464e6
QTT_Alt,1.0,10.0,100,3.240888e6
QTT_Alt,1.0,10.0,150,4.022104e6
QTT_Alt,1.0,10.0,200,4.69516e6
QTT_Alt,1.0,10.0,250,5.229144e6
QTT_Alt,1.0,10.0,300,5.64636e6
QTT_Alt,1.0,50.0,20,1.482008e6
QTT_Alt,1.0,50.0,50,2.50092e6
QTT_Alt,1.0,50.0,100,3.803736e6
QTT_Alt,1.0,50.0,150,4.90508e6
QTT_Alt,1.0,50.0,200,5.864152e6
QTT_Alt,1.0,50.0,250,6.726136e6
QTT_Alt,1.0,50.0,300,7.505464e6
QTT_Alt,1.0,100.0,20,1.523992e6
QTT_Alt,1.0,100.0,50,2.61244e6
QTT_Alt,1.0,100.0,100,4.03596e6
QTT_Alt,1.0,100.0,150,5.234392e6
QTT_Alt,1.0,100.0,200,6.332536e6
QTT_Alt,1.0,100.0,250,7.315224e6
QTT_Alt,1.0,100.0,300,8.232312e6
QTT_Alt,1.0,200.0,20,1.55548e6
QTT_Alt,1.0,200.0,50,2.725272e6
QTT_Alt,1.0,200.0,100,4.290488e6
QTT_Alt,1.0,200.0,150,5.62012e6
QTT_Alt,1.0,200.0,200,6.79436e6
QTT_Alt,1.0,200.0,250,7.903e6
QTT_Alt,1.0,200.0,300,8.9854e6
CTTN_Alt2,0.001,10.0,20,1.244776e6
CTTN_Alt2,0.001,10.0,50,1.813672e6
CTTN_Alt2,0.001,10.0,100,2.417192e6
CTTN_Alt2,0.001,10.0,150,2.888776e6
CTTN_Alt2,0.001,10.0,200,3.2522e6
CTTN_Alt2,0.001,10.0,250,3.594632e6
CTTN_Alt2,0.001,10.0,300,3.889832e6
CTTN_Alt2,0.001,50.0,20,1.353672e6
CTTN_Alt2,0.001,50.0,50,2.104936e6
CTTN_Alt2,0.001,50.0,100,3.010216e6
CTTN_Alt2,0.001,50.0,150,3.766504e6
CTTN_Alt2,0.001,50.0,200,4.473672e6
CTTN_Alt2,0.001,50.0,250,5.112616e6
CTTN_Alt2,0.001,50.0,300,5.703016e6
CTTN_Alt2,0.001,100.0,20,1.393032e6
CTTN_Alt2,0.001,100.0,50,2.21908e6
CTTN_Alt2,0.001,100.0,100,3.260808e6
CTTN_Alt2,0.001,100.0,150,4.160104e6
CTTN_Alt2,0.001,100.0,200,4.978792e6
CTTN_Alt2,0.001,100.0,250,5.76468e6
CTTN_Alt2,0.001,100.0,300,6.484968e6
CTTN_Alt2,0.001,200.0,20,1.423208e6
CTTN_Alt2,0.001,200.0,50,2.342408e6
CTTN_Alt2,0.001,200.0,100,3.512712e6
CTTN_Alt2,0.001,200.0,150,4.541896e6
CTTN_Alt2,0.001,200.0,200,5.500968e6
CTTN_Alt2,0.001,200.0,250,6.416744e6
CTTN_Alt2,0.001,200.0,300,7.268232e6
CTTN_Alt2,0.01,10.0,20,1.269704e6
CTTN_Alt2,0.01,10.0,50,1.854344e6
CTTN_Alt2,0.01,10.0,100,2.465736e6
CTTN_Alt2,0.01,10.0,150,2.946504e6
CTTN_Alt2,0.01,10.0,200,3.332232e6
CTTN_Alt2,0.01,10.0,250,3.664168e6
CTTN_Alt2,0.01,10.0,300,3.98692e6
CTTN_Alt2,0.01,50.0,20,1.370728e6
CTTN_Alt2,0.01,50.0,50,2.137736e6
CTTN_Alt2,0.01,50.0,100,3.053512e6
CTTN_Alt2,0.01,50.0,150,3.825544e6
CTTN_Alt2,0.01,50.0,200,4.536648e6
CTTN_Alt2,0.01,50.0,250,5.178216e6
CTTN_Alt2,0.01,50.0,300,5.781736e6
CTTN_Alt2,0.01,100.0,20,1.403528e6
CTTN_Alt2,0.01,100.0,50,2.259752e6
CTTN_Alt2,0.01,100.0,100,3.305416e6
CTTN_Alt2,0.01,100.0,150,4.2034e6
CTTN_Alt2,0.01,100.0,200,5.0562e6
CTTN_Alt2,0.01,100.0,250,5.822408e6
CTTN_Alt2,0.01,100.0,300,6.559752e6
CTTN_Alt2,0.01,200.0,20,1.458632e6
CTTN_Alt2,0.01,200.0,50,2.37652e6
CTTN_Alt2,0.01,200.0,100,3.5442e6
CTTN_Alt2,0.01,200.0,150,4.595688e6
CTTN_Alt2,0.01,200.0,200,5.565256e6
CTTN_Alt2,0.01,200.0,250,6.481032e6
CTTN_Alt2,0.01,200.0,300,7.328584e6
CTTN_Alt2,0.1,10.0,20,1.303816e6
CTTN_Alt2,0.1,10.0,50,1.893704e6
CTTN_Alt2,0.1,10.0,100,2.532648e6
CTTN_Alt2,0.1,10.0,150,3.014728e6
CTTN_Alt2,0.1,10.0,200,3.425384e6
CTTN_Alt2,0.1,10.0,250,3.748136e6
CTTN_Alt2,0.1,10.0,300,4.0722e6
CTTN_Alt2,0.1,50.0,20,1.379912e6
CTTN_Alt2,0.1,50.0,50,2.188904e6
CTTN_Alt2,0.1,50.0,100,3.115176e6
CTTN_Alt2,0.1,50.0,150,3.917384e6
CTTN_Alt2,0.1,50.0,200,4.632424e6
CTTN_Alt2,0.1,50.0,250,5.288424e6
CTTN_Alt2,0.1,50.0,300,5.867016e6
CTTN_Alt2,0.1,100.0,20,1.432392e6
CTTN_Alt2,0.1,100.0,50,2.30436e6
CTTN_Alt2,0.1,100.0,100,3.377576e6
CTTN_Alt2,0.1,100.0,150,4.3018e6
CTTN_Alt2,0.1,100.0,200,5.1546e6
CTTN_Alt2,0.1,100.0,250,5.926056e6
CTTN_Alt2,0.1,100.0,300,6.6634e6
CTTN_Alt2,0.1,200.0,20,1.461256e6
CTTN_Alt2,0.1,200.0,50,2.418504e6
CTTN_Alt2,0.1,200.0,100,3.613736e6
CTTN_Alt2,0.1,200.0,150,4.683592e6
CTTN_Alt2,0.1,200.0,200,5.663656e6
CTTN_Alt2,0.1,200.0,250,6.579432e6
CTTN_Alt2,0.1,200.0,300,7.434856e6
CTTN_Alt2,0.0,10.0,20,1.16868e6
CTTN_Alt2,0.0,10.0,50,1.675912e6
CTTN_Alt2,0.0,10.0,100,2.223016e6
CTTN_Alt2,0.0,10.0,150,2.660488e6
CTTN_Alt2,0.0,10.0,200,3.001608e6
CTTN_Alt2,0.0,10.0,250,3.332232e6
CTTN_Alt2,0.0,10.0,300,3.582824e6
CTTN_Alt2,0.0,50.0,20,1.277576e6
CTTN_Alt2,0.0,50.0,50,1.967176e6
CTTN_Alt2,0.0,50.0,100,2.814728e6
CTTN_Alt2,0.0,50.0,150,3.565768e6
CTTN_Alt2,0.0,50.0,200,4.220456e6
CTTN_Alt2,0.0,50.0,250,4.84628e6
CTTN_Alt2,0.0,50.0,300,5.431432e6
CTTN_Alt2,0.0,100.0,20,1.320872e6
CTTN_Alt2,0.0,100.0,50,2.085256e6
CTTN_Alt2,0.0,100.0,100,3.077128e6
CTTN_Alt2,0.0,100.0,150,3.94756e6
CTTN_Alt2,0.0,100.0,200,4.74132e6
CTTN_Alt2,0.0,100.0,250,5.499656e6
CTTN_Alt2,0.0,100.0,300,6.221256e6
CTTN_Alt2,0.0,200.0,20,1.366792e6
CTTN_Alt2,0.0,200.0,50,2.211208e6
CTTN_Alt2,0.0,200.0,100,3.331656e6
CTTN_Alt2,0.0,200.0,150,4.338536e6
CTTN_Alt2,0.0,200.0,200,5.264808e6
CTTN_Alt2,0.0,200.0,250,6.149096e6
CTTN_Alt2,0.0,200.0,300,6.999272e6
CTTN_Alt2,1.0,10.0,20,1.328744e6
CTTN_Alt2,1.0,10.0,50,1.975048e6
CTTN_Alt2,1.0,10.0,100,2.71764e6
CTTN_Alt2,1.0,10.0,150,3.294184e6
CTTN_Alt2,1.0,10.0,200,3.758632e6
CTTN_Alt2,1.0,10.0,250,4.171912e6
CTTN_Alt2,1.0,10.0,300,4.493352e6
CTTN_Alt2,1.0,50.0,20,1.416648e6
CTTN_Alt2,1.0,50.0,50,2.257128e6
CTTN_Alt2,1.0,50.0,100,3.2818e6
CTTN_Alt2,1.0,50.0,150,4.165352e6
CTTN_Alt2,1.0,50.0,200,4.902696e6
CTTN_Alt2,1.0,50.0,250,5.6466e6
CTTN_Alt2,1.0,50.0,300,6.305224e6
CTTN_Alt2,1.0,100.0,20,1.462568e6
CTTN_Alt2,1.0,100.0,50,2.37652e6
CTTN_Alt2,1.0,100.0,100,3.538952e6
CTTN_Alt2,1.0,100.0,150,4.526152e6
CTTN_Alt2,1.0,100.0,200,5.376328e6
CTTN_Alt2,1.0,100.0,250,6.24356e6
CTTN_Alt2,1.0,100.0,300,7.03732e6
CTTN_Alt2,1.0,200.0,20,1.499304e6
CTTN_Alt2,1.0,200.0,50,2.485416e6
CTTN_Alt2,1.0,200.0,100,3.772488e6
CTTN_Alt2,1.0,200.0,150,4.851528e6
CTTN_Alt2,1.0,200.0,200,5.853896e6
CTTN_Alt2,1.0,200.0,250,6.848392e6
CTTN_Alt2,1.0,200.0,300,7.802216e6
